gid,_record_id,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,name,icon,general_description,photo_marquee,photo_other,audio
1,90ecec7d-65e6-4c77-98b9-9a4c73a79d4b,2020-04-30 13:40:46 EDT,Steve Signell,SRID=4326;POINT(-74.191324 43.975874),43.975874,-74.191324,Dawn Bird Chorus,Bird,"Sit quietly for a moment on this bench and listen. Depending on the season and the time of day, you may be able to hear birds singing. Listen to the audio file for an example of the “dawn chorus”; the cacophony of bird sounds that begins as early as 4:00 A.M. and can last for several hours. Birds tend to sing most often in the breeding season (~ June in the Adirondacks) and most species sing more frequently in the early morning.  Different species join the chorus at different times throughout the day. Later in the summer, when male birds are not trying to attract mates or defend territories, vocalizations will decrease. By September, many of our migratory songbirds are returning to their southern homes and year-round residents like the black-capped chickadee, the golden-crowned kinglet and the blue jay are the species most commonly heard in the forest. Do you hear any birds today? What time is it? What season? What is the weather like? All these factors can influence the composition of the birds that are singing and the quantity and quality of their song.",,,d65b6ffe-ea59-45c3-8e89-bb08df759cf4
2,5ef434a7-d8bd-472c-9f7c-619cf42749b3,2020-04-30 13:40:46 EDT,Steve Signell,SRID=4326;POINT(-74.183509 43.975485),43.975485,-74.183509,Beaver Dam ,Beaver,Beaver started building a dam under this bridge in the summer of 2017. By the following spring they had abandoned the pond and moved back down to the lake. You can see evidence of the beaver activity where they have partially and fully felled trees for their winter food cache. You may also notice  sticks around the area that have had their bark fully scraped off by the beaver.  Beavers do not eat wood but the soft growing tissue under the bark.,587c44a4-537b-4261-a468-0f48aa25b6b4,"be0f502b-b61e-4179-8256-e2efd9886871,27635f45-883b-48f5-8094-edcc72b1b72e",
3,7e2eaa79-0701-4ab8-a230-3807f9fe82e4,2020-04-30 13:40:46 EDT,Steve Signell,SRID=4326;POINT(-74.1951132 43.9765159),43.9765159,-74.1951132,Pileated Woodpecker Tree,Bird,"This tree is a feeding site for Pileated Woodpeckers.  Look for these large, charismatic birds as you wander the AIC property.  There are several breeding pairs in the area, and they are relatively easy to spot as they travel the forest looking for carpenter ants and other organisms to eat in dead trees and logs. ",4e20e351-17df-49a6-88d5-c9ede0c51166,c25e3b92-8e9f-4a56-bffa-93ac26c954f2,75b4cb74-003c-413f-a078-2e6dbdd325a6
4,f64505d4-0918-4c71-985d-61c744fac059,2020-04-30 13:40:45 EDT,Steve Signell,SRID=4326;POINT(-74.1877108 43.9755392),43.9755392,-74.1877108,Big White Pine,Tree,"Despite their large size, these white pine trees are estimated to be about 100-120 years old; the same age as the surrounding over story trees.",cd7d2463-3d76-49ee-9424-8e73b1194718,,
5,10b87e95-7618-48c7-ae80-b6e0a51cd0fb,2020-04-30 13:40:45 EDT,Steve Signell,SRID=4326;POINT(-74.1950807 43.9777778),43.9777778,-74.1950807,Old Growth Hemlock,Tree,"Trees that have fallen across trails provide an excellent opportunity for delving into the history of a forest.  When the tree is cut to clear the trail, it exposes the tree rings so they can be easily observed and counted.   Count the rings on this hemlock stump and you will find that it was over 200 years old when it fell, predating the earliest Europeans to settle the Newcomb Area.  The study of tree rings to reconstruct the ecological history of an area is called Dendroecology. ",b7fd6826-47a8-493d-b517-6935d1f20de1,,
6,628a6de9-0d01-4f50-b0ce-80d4018153a2,2020-04-30 13:40:45 EDT,Steve Signell,SRID=4326;POINT(-74.18874 43.974428),43.974428,-74.18874,Hemlock Tree (1860-),Tree,"Hemlock trees are very shade tolerant and can survive for decades or even centuries in very low light conditions.   This 11.5 inch diameter hemlock started out life as a seedling around 1860.  Tight growth rings during the first few years of life (1860-1865) indicate that this tree probably initiated in the shady understory of a mature forest.  Slow growth continued under low light conditions over the first  80 years of life; during this time the tree grew to only about 3 inches in diameter!  Wider growth rings starting around 1940 indicate that a disturbance, most likely logging or blow down, removed the forest overstory and allowed direct sunlight to reach the tree.  With access to light no longer limiting growth, this tree was able to nearly triple it's former growth rate.   Hemlocks can live up to 800 years and this tree has now achieved coveted 'canopy status',  where it will likely remain for centuries to come. ",93acbf13-da25-43e2-b493-56a3c83e674d,,
7,b2ec58c7-c98e-47af-8ba3-659c4a43726c,2020-04-30 13:40:44 EDT,Steve Signell,SRID=4326;POINT(-74.1936892 43.975399),43.975399,-74.1936892,Red Spruce (1850-),Tree,"This 14 inch diameter red spruce tree initiated around 1850.  The wide growth rings following germination indicates that this tree started life with plenty of access to sunlight, probably  after a disturbance such as logging or blow down removed the overstory trees.  This tree quickly became dominant and continued to grow quickly for the next 100 years or so.  Smaller growth rings during the last 50 years show that the tree is aging and competing for light with its neighbors in the forest canopy.  ",3832c591-eb6b-4c83-9d19-cf65f0bdc7d4,e44e5de2-0d2e-4c07-901b-9b946a14f092,
8,f2f2a3a3-3095-4298-b663-f792fc6119ac,2020-04-30 13:40:43 EDT,Steve Signell,SRID=4326;POINT(-74.1887733 43.9749416),43.9749416,-74.1887733,Small Mammal Trapping Site,Research Site,"The buckets you see are part of a  long-term research and teaching project. These buckets act as trapping shelters.  After baiting the shelters with sunflower seeds in the fall, we live trap for small mammals like mice, shrews and squirrels. After weighing, and ear tagging  them, they are released. The data  are used  as an indicator to forest ecosystem health. Download the graph to see how mammal numbers fluctuate from year-to-year based on food availability.",32db5734-aed4-4e02-93e3-ab2cdb809561,9d139a76-a48f-4a8f-83bb-46013a05211e,
9,b0fc7020-3f38-4788-b3ae-44deebd985ab,2020-04-30 13:40:43 EDT,Steve Signell,SRID=4326;POINT(-74.1853397 43.9747345),43.9747345,-74.1853397,Deer Exclosure Study Plot,Research Site,"This site is a long-term project studying the effects of herbivorous (plant-eating) animals such as deer and hare, on forest vegetation. The fence prevents (excludes) herbivores from eating the vegetation within it.  You can see many small trees regenerating within the fence, demonstrating what the forest might look like with a smaller population of deer.",987cf23e-d7dd-4f46-a9e6-7509c1d6365a,,
10,6c044e26-a2ac-42e8-b95f-8297c46628cf,2020-04-30 13:40:39 EDT,Steve Signell,SRID=4326;POINT(-74.1986423 43.9779922),43.9779922,-74.1986423,Moss and Lichen,Plant,"The vertical rock face here, caused by an eroded bedrock joint provides the substrate for a beautiful natural tapestry.  The mosaic of grays and greens are colonies of lichens - a primitive organism made up of alga and fungus cells that mutually benefit each other.  The alga provide energy to the fungi through their chlorophyll; the rigid cell walls of the fungi provide the algae a house-like substrate.   Lichens can grow on sites like this by releasing a weak acid that dissolves the rock and provides nutrients. There are three types of lichen visible on this boulder-- the leafy Boulder Lichen, stalky Spoon Lichen and the grayish Whitewash Lichen. ",2cda4cec-bbf7-4fa8-9653-24880baf5387,"c3b0c6d7-ef2a-4ef6-ace7-08056eca44ab,190a79a1-4150-446a-b6e2-bee265fbc367",
